Iteration,d=50,d=100,d=200,d=300
1,0.29908288,0.29723436,0.29688442,0.29798508
2,0.23415323,0.23088977,0.22925475,0.22812814
3,0.22842509,0.22372732,0.21819045,0.21479312
4,0.22465925,0.2169181,0.2086024,0.20316835
5,0.22071289,0.21098197,0.20043746,0.1923217
6,0.21724445,0.20574309,0.19291155,0.18173815
7,0.21421233,0.20095097,0.18577693,0.17173459
8,0.21150157,0.1965869,0.17900965,0.16258562
9,0.20906709,0.19255754,0.17263725,0.15445112
10,0.2067869,0.18881615,0.16680638,0.14740732
11,0.2046696,0.1853603,0.16152392,0.14139025
12,0.20267951,0.18214932,0.15679176,0.13625202
13,0.20079713,0.1792286,0.15251756,0.13186157
14,0.19903162,0.17645723,0.14871418,0.12804846
15,0.19732252,0.17394294,0.14528233,0.12474873
16,0.1957167,0.17159675,0.14222157,0.12183449
17,0.19416493,0.16938704,0.13944753,0.11926952
18,0.19265683,0.16731988,0.1369499,0.116952136
19,0.19121963,0.16543932,0.13466854,0.11489657
20,0.18982197,0.16364753,0.13259602,0.1130246
21,0.18853785,0.16194014,0.1307187,0.110994294
22,0.18728046,0.16040234,0.12900342,0.1091293
23,0.18605721,0.15891573,0.1273903,0.10738998
24,0.18492176,0.15754326,0.1259342,0.10578143
25,0.1838257,0.1562458,0.124579675,0.10430938
26,0.18278074,0.15502933,0.1233363,0.10290775
27,0.18178351,0.15388933,0.12218445,0.10161386
28,0.18083121,0.15280029,0.121084705,0.10038504
29,0.17994043,0.15179448,0.12009215,0.09922954
30,0.17908385,0.15082541,0.11914374,0.09815407
31,0.1782489,0.14993492,0.118256226,0.09712857
32,0.17747335,0.14905614,0.1174155,0.096148856
33,0.17672485,0.14829688,0.116632305,0.09523238
34,0.1760399,0.14750424,0.11590149,0.094358355
35,0.17534822,0.14680415,0.1152072,0.0935241
36,0.1746813,0.14611469,0.11454761,0.092731416
37,0.17410192,0.14546509,0.11392255,0.09197977
38,0.1735111,0.14485392,0.11332637,0.09126415
39,0.17294382,0.14429703,0.1127333,0.09057278
40,0.17239554,0.14373909,0.11210745,0.08991694
41,0.1718916,0.14319819,0.111514,0.08928731
42,0.17141078,0.14271563,0.11094138,0.08869594
43,0.17092857,0.14223215,0.110400036,0.08811996
44,0.17048348,0.14178027,0.10989305,0.08757541
45,0.17005482,0.14137317,0.10940377,0.08705063
46,0.16963325,0.14096215,0.108929716,0.08654621
47,0.16923517,0.14057158,0.108468905,0.086061
48,0.16886427,0.14019892,0.10803926,0.08560688
49,0.16850801,0.13983728,0.1076299,0.08515989
50,0.16815752,0.13949786,0.10722086,0.084729515
